timestamp,subject,activity,heart_rate,breathing_rate
0.0,x001,Running,95.0,20.03512668211843
0.09765625,x001,Running,95.0,19.999877803888804
0.1953125,x001,Running,95.0,19.999877803888804
0.29296875,x001,Running,95.0,19.999877803888804
0.390625,x001,Running,95.0,19.999877803888804
0.48828125,x001,Running,95.0,19.999877803888804
0.5859375,x001,Running,95.0,19.999877803888804
0.68359375,x001,Running,95.0,19.999877803888804
0.78125,x001,Running,95.0,19.999877803888804
0.87890625,x001,Running,95.0,19.999877803888804
0.9765625,x001,Running,95.0,19.999877803888804
1.07421875,x001,Running,95.0,19.999877803888804
1.171875,x001,Running,95.0,19.999877803888804
1.26953125,x001,Running,95.0,19.999877803888804
1.3671875,x001,Running,95.0,19.999877803888804
1.46484375,x001,Running,95.0,19.999877803888804
1.5625,x001,Running,95.0,19.999877803888804
1.66015625,x001,Running,95.0,19.999877803888804
1.7578125,x001,Running,95.0,19.999877803888804
1.85546875,x001,Running,95.0,19.999877803888804
1.953125,x001,Running,95.0,19.999877803888804
2.05078125,x001,Running,95.0,19.999877803888804
2.1484375,x001,Running,95.0,19.999877803888804
2.24609375,x001,Running,95.0,19.999877803888804
2.34375,x001,Running,95.0,19.999877803888804
2.44140625,x001,Running,95.0,19.999877803888804
2.5390625,x001,Running,95.0,19.999877803888804
2.63671875,x001,Running,95.0,19.999877803888804
2.734375,x001,Running,95.0,19.999877803888804
2.83203125,x001,Running,95.0,19.999877803888804
2.9296875,x001,Running,95.0,19.999877803888804
3.02734375,x001,Running,95.0,19.999877803888804
3.125,x001,Running,95.08987701040681,19.999877803888804
3.22265625,x001,Running,95.18732261116367,19.999877803888804
3.3203125,x001,Running,95.28476821192054,19.999877803888804
3.41796875,x001,Running,95.38315988647115,19.999877803888804
3.515625,x001,Running,95.480605487228,19.999877803888804
3.61328125,x001,Running,95.57805108798486,19.999877803888804
3.7109375,x001,Running,95.67549668874172,19.999877803888804
3.80859375,x001,Running,95.77388836329234,19.999877803888804
3.90625,x001,Running,95.8713339640492,19.999877803888804
4.00390625,x001,Running,95.96877956480606,19.999877803888804
4.1015625,x001,Running,96.0,19.999877803888804
4.19921875,x001,Running,96.0,19.999877803888804
4.296875,x001,Running,96.0,19.999877803888804
4.39453125,x001,Running,96.0,19.999877803888804
4.4921875,x001,Running,96.0,19.999877803888804
4.58984375,x001,Running,96.0,19.999877803888804
4.6875,x001,Running,96.0,19.999877803888804
4.78515625,x001,Running,96.0,19.999877803888804
