timestamp,predicted_breathing_rate
0.0,22.502171572571854
48.828125,22.859881601484407
97.65625,23.21759163039696
146.484375,23.575301659309513
195.3125,23.933011688222066
244.140625,24.290721717134623
292.96875,24.648431746047176
41.69921875,22.807655937263174
90.52734375,23.165365966175727
139.35546875,23.52307599508828
188.18359375,23.880786024000834
237.01171875,24.23849605291339
285.83984375,24.596206081825944
34.5703125,22.75543027304194
83.3984375,23.113140301954495
132.2265625,23.470850330867048
181.0546875,23.8285603597796
229.8828125,24.186270388692154
278.7109375,24.543980417604708
27.44140625,22.70320460882071
76.26953125,23.060914637733262
125.09765625,23.418624666645815
173.92578125,23.77633469555837
222.75390625,24.13404472447092
271.58203125,24.491754753383475
20.3125,22.650978944599476
69.140625,23.00868897351203
117.96875,23.366399002424583
166.796875,23.724109031337136
215.625,24.08181906024969
264.453125,24.439529089162242
13.18359375,22.598753280378244
62.01171875,22.956463309290797
110.83984375,23.31417333820335
159.66796875,23.671883367115903
208.49609375,24.029593396028456
257.32421875,24.38730342494101
6.0546875,22.54652761615701
54.8828125,22.904237645069564
103.7109375,23.261947673982117
152.5390625,23.61965770289467
201.3671875,23.977367731807224
250.1953125,24.335077760719777
299.0234375,24.692787789632334
47.75390625,22.85201198084833
96.58203125,23.209722009760885
145.41015625,23.567432038673438
194.23828125,23.92514206758599
243.06640625,24.282852096498544
291.89453125,24.640562125411098
40.625,22.7997863166271
89.453125,23.157496345539652
138.28125,23.515206374452205
187.109375,23.87291640336476
235.9375,24.23062643227731
284.765625,24.588336461189865
33.49609375,22.747560652405866
82.32421875,23.10527068131842
131.15234375,23.462980710230973
179.98046875,23.820690739143526
228.80859375,24.17840076805608
277.63671875,24.536110796968632
26.3671875,22.695334988184634
75.1953125,23.053045017097187
124.0234375,23.41075504600974
172.8515625,23.768465074922293
221.6796875,24.126175103834846
270.5078125,24.4838851327474
19.23828125,22.6431093239634
68.06640625,23.000819352875954
116.89453125,23.358529381788507
165.72265625,23.71623941070106
214.55078125,24.073949439613614
263.37890625,24.431659468526167
12.109375,22.59088365974217
60.9375,22.94859368865472
109.765625,23.306303717567275
158.59375,23.664013746479828
207.421875,24.02172377539238
256.25,24.379433804304934
