timestamp,subject,activity,heart_rate,breathing_rate
0.0,x001,Walking,83.0,29.000091378520512
0.09765625,x001,Walking,83.0,29.000091378520512
0.1953125,x001,Walking,83.0,29.000091378520512
0.29296875,x001,Walking,83.0,29.000091378520512
0.390625,x001,Walking,83.0,29.000091378520512
0.48828125,x001,Walking,83.0,29.000091378520512
0.5859375,x001,Walking,83.0,29.000091378520512
0.68359375,x001,Walking,83.0,28.96887094351713
0.78125,x001,Walking,83.0,28.87118119528073
0.87890625,x001,Walking,83.0,28.773491447044332
0.9765625,x001,Walking,83.0,28.675801698807934
1.07421875,x001,Walking,83.0,28.578111950571536
1.171875,x001,Walking,83.0,28.480422202335138
1.26953125,x001,Walking,83.0,28.38273245409874
1.3671875,x001,Walking,83.0,28.28504270586234
1.46484375,x001,Walking,83.0,28.187352957625947
1.5625,x001,Walking,83.0,28.089998912991735
1.66015625,x001,Walking,83.0,27.992309164755337
1.7578125,x001,Walking,83.0,27.89461941651894
1.85546875,x001,Walking,83.0,27.79692966828254
1.953125,x001,Walking,83.0,27.699239920046143
2.05078125,x001,Walking,83.0,27.601550171809745
2.1484375,x001,Walking,83.0,27.503860423573347
2.24609375,x001,Walking,83.0,27.40617067533695
2.34375,x001,Walking,83.0,27.30848092710055
2.44140625,x001,Walking,83.0,27.210791178864152
2.5390625,x001,Walking,83.0,27.113437134229944
2.63671875,x001,Walking,83.0,27.015747385993546
2.734375,x001,Walking,83.08230842005676,26.99996931669076
2.83203125,x001,Walking,83.17975402081362,26.99996931669076
2.9296875,x001,Walking,83.27719962157049,26.99996931669076
3.02734375,x001,Walking,83.37464522232735,26.99996931669076
3.125,x001,Walking,83.47303689687796,26.99996931669076
3.22265625,x001,Walking,83.57048249763481,26.99996931669076
3.3203125,x001,Walking,83.66792809839167,26.99996931669076
3.41796875,x001,Walking,83.76537369914854,26.99996931669076
3.515625,x001,Walking,83.8628192999054,26.99996931669076
3.61328125,x001,Walking,83.96121097445601,26.99996931669076
3.7109375,x001,Walking,84.05865657521286,26.99996931669076
3.80859375,x001,Walking,84.15610217596972,26.99996931669076
3.90625,x001,Walking,84.25354777672659,26.99996931669076
4.00390625,x001,Walking,84.3519394512772,26.99996931669076
4.1015625,x001,Walking,84.44938505203406,26.99996931669076
4.19921875,x001,Walking,84.54683065279092,26.99996931669076
4.296875,x001,Walking,84.64427625354777,26.99996931669076
4.39453125,x001,Walking,84.74172185430463,26.99996931669076
4.4921875,x001,Walking,84.84011352885526,26.99996931669076
4.58984375,x001,Walking,84.93755912961211,26.99996931669076
4.6875,x001,Walking,85.03500473036897,27.035218194920386
4.78515625,x001,Walking,85.13245033112582,27.132907943156784
4.8828125,x001,Walking,85.23084200567644,27.230597691393182
4.98046875,x001,Walking,85.3282876064333,27.32828743962958
5.078125,x001,Walking,85.42573320719016,27.425641484263792
5.17578125,x001,Walking,85.52317880794702,27.52333123250019
5.2734375,x001,Walking,85.62157048249763,27.62102098073659
5.37109375,x001,Walking,85.71901608325449,27.718710728972987
5.46875,x001,Walking,85.81646168401136,27.816400477209385
5.56640625,x001,Walking,85.91390728476821,27.91409022544578
5.6640625,x001,Walking,86.0,28.000030347605637
5.76171875,x001,Walking,86.0,28.000030347605637
5.859375,x001,Walking,86.0,28.000030347605637
5.95703125,x001,Walking,86.0,28.000030347605637
6.0546875,x001,Walking,86.0,28.000030347605637
6.15234375,x001,Walking,86.0,28.000030347605637
6.25,x001,Walking,86.0,28.000030347605637
6.34765625,x001,Walking,86.0,28.000030347605637
6.4453125,x001,Walking,86.0,28.000030347605637
6.54296875,x001,Walking,86.0,28.000030347605637
6.640625,x001,Walking,86.0,28.000030347605637
6.73828125,x001,Walking,86.08609271523179,28.000030347605637
6.8359375,x001,Walking,86.18353831598864,28.000030347605637
6.93359375,x001,Walking,86.28098391674551,28.000030347605637
7.03125,x001,Walking,86.37937559129612,28.000030347605637
7.12890625,x001,Walking,86.47682119205298,28.000030347605637
7.2265625,x001,Walking,86.57426679280984,28.000030347605637
7.32421875,x001,Walking,86.6717123935667,28.000030347605637
7.421875,x001,Walking,86.76915799432356,28.000030347605637
7.51953125,x001,Walking,86.86754966887418,28.000030347605637
7.6171875,x001,Walking,86.96499526963103,28.000030347605637
7.71484375,x001,Walking,87.06244087038789,28.000030347605637
7.8125,x001,Walking,87.15988647114474,28.000030347605637
7.91015625,x001,Walking,87.25827814569537,28.000030347605637
8.0078125,x001,Walking,87.35572374645223,28.000030347605637
8.10546875,x001,Walking,87.45316934720908,28.000030347605637
8.203125,x001,Walking,87.55061494796594,28.000030347605637
8.30078125,x001,Walking,87.6480605487228,28.000030347605637
8.3984375,x001,Walking,87.74645222327341,28.000030347605637
8.49609375,x001,Walking,87.84389782403028,28.000030347605637
8.59375,x001,Walking,87.94134342478714,28.000030347605637
8.69140625,x001,Walking,88.03878902554399,27.961088729751953
8.7890625,x001,Walking,88.1371807000946,27.863398981515555
8.88671875,x001,Walking,88.23462630085146,27.765709233279157
8.984375,x001,Walking,88.33207190160833,27.66801948504276
9.08203125,x001,Walking,88.42951750236519,27.57032973680636
9.1796875,x001,Walking,88.52696310312204,27.472639988569963
9.27734375,x001,Walking,88.62535477767265,27.374950240333565
9.375,x001,Walking,88.72280037842951,27.277260492097167
9.47265625,x001,Walking,88.82024597918638,27.17957074386077
9.5703125,x001,Walking,88.91769157994324,27.08188099562437
9.66796875,x001,Walking,89.01608325449385,26.99996931669076
9.765625,x001,Walking,89.1135288552507,26.99996931669076
9.86328125,x001,Walking,89.21097445600756,26.99996931669076
9.9609375,x001,Walking,89.30842005676443,26.99996931669076
10.05859375,x001,Walking,89.40586565752129,26.99996931669076
10.15625,x001,Walking,89.5042573320719,26.99996931669076
10.25390625,x001,Walking,89.60170293282876,26.99996931669076
10.3515625,x001,Walking,89.69914853358561,26.99996931669076
10.44921875,x001,Walking,89.79659413434248,26.99996931669076
10.546875,x001,Walking,89.8949858088931,26.99996931669076
10.64453125,x001,Walking,89.99243140964995,26.99996931669076
10.7421875,x001,Walking,90.08987701040681,26.99996931669076
10.83984375,x001,Walking,90.18732261116367,26.99996931669076
10.9375,x001,Walking,90.28476821192054,26.99996931669076
11.03515625,x001,Walking,90.38315988647115,26.99996931669076
11.1328125,x001,Walking,90.480605487228,26.99996931669076
11.23046875,x001,Walking,90.57805108798486,26.99996931669076
11.328125,x001,Walking,90.67549668874172,26.99996931669076
11.42578125,x001,Walking,90.77388836329234,26.99996931669076
11.5234375,x001,Walking,90.8713339640492,26.99996931669076
11.62109375,x001,Walking,90.96877956480606,26.99996931669076
11.71875,x001,Walking,91.0,27.066438629923773
11.81640625,x001,Walking,91.0,27.164128378160168
11.9140625,x001,Walking,91.0,27.261818126396566
12.01171875,x001,Walking,91.0,27.359507874632964
12.109375,x001,Walking,91.0,27.457197622869362
12.20703125,x001,Walking,91.0,27.554551667503574
12.3046875,x001,Walking,91.0,27.652241415739972
12.40234375,x001,Walking,91.0,27.74993116397637
12.5,x001,Walking,91.0,27.84762091221277
12.59765625,x001,Walking,91.0,27.945310660449167
12.6953125,x001,Walking,91.0,28.000030347605637
12.79296875,x001,Walking,91.0,28.000030347605637
12.890625,x001,Walking,91.0,28.000030347605637
12.98828125,x001,Walking,91.0,28.000030347605637
13.0859375,x001,Walking,91.0,28.000030347605637
13.18359375,x001,Walking,91.0,28.000030347605637
13.28125,x001,Walking,91.0,28.000030347605637
13.37890625,x001,Walking,91.0,28.000030347605637
13.4765625,x001,Walking,91.0,28.000030347605637
13.57421875,x001,Walking,91.0,28.000030347605637
13.671875,x001,Walking,91.01986754966887,28.019501156532478
13.76953125,x001,Walking,91.11731315042573,28.117190904768876
13.8671875,x001,Walking,91.21475875118259,28.214880653005274
13.96484375,x001,Walking,91.31220435193946,28.312570401241672
14.0625,x001,Walking,91.41059602649007,28.41026014947807
14.16015625,x001,Walking,91.50804162724693,28.507949897714468
14.2578125,x001,Walking,91.60548722800378,28.605639645950866
14.35546875,x001,Walking,91.70293282876064,28.702993690585078
14.453125,x001,Walking,91.80037842951751,28.800683438821476
14.55078125,x001,Walking,91.89877010406812,28.89837318705787
14.6484375,x001,Walking,91.99621570482498,28.99606293529427
