timestamp,predicted_heart_rate
0.0,119.53248736854445
48.828125,126.08173732181453
97.65625,132.6309872750846
146.484375,139.1802372283547
195.3125,145.7294871816248
244.140625,152.27873713489487
292.96875,158.82798708816495
41.69921875,125.1255468286371
90.52734375,131.6747967819072
139.35546875,138.22404673517727
188.18359375,144.77329668844735
237.01171875,151.32254664171745
285.83984375,157.87179659498753
34.5703125,124.16935633545967
83.3984375,130.71860628872975
132.2265625,137.26785624199982
181.0546875,143.81710619526993
229.8828125,150.36635614854
278.7109375,156.91560610181008
27.44140625,123.21316584228224
76.26953125,129.76241579555233
125.09765625,136.3116657488224
173.92578125,142.86091570209248
222.75390625,149.41016565536256
271.58203125,155.95941560863267
20.3125,122.2569753491048
69.140625,128.80622530237488
117.96875,135.35547525564496
166.796875,141.90472520891507
215.625,148.45397516218515
264.453125,155.00322511545522
13.18359375,121.30078485592738
62.01171875,127.85003480919745
110.83984375,134.39928476246754
159.66796875,140.94853471573762
208.49609375,147.4977846690077
257.32421875,154.0470346222778
6.0546875,120.34459436274994
54.8828125,126.89384431602002
103.7109375,133.4430942692901
152.5390625,139.99234422256018
201.3671875,146.54159417583028
250.1953125,153.09084412910036
299.0234375,159.64009408237044
47.75390625,125.93765382284259
96.58203125,132.48690377611268
145.41015625,139.03615372938276
194.23828125,145.58540368265284
243.06640625,152.13465363592292
291.89453125,158.68390358919302
40.625,124.98146332966516
89.453125,131.53071328293524
138.28125,138.07996323620534
187.109375,144.62921318947542
235.9375,151.1784631427455
284.765625,157.72771309601558
33.49609375,124.02527283648773
82.32421875,130.57452278975782
131.15234375,137.1237727430279
179.98046875,143.67302269629798
228.80859375,150.22227264956805
277.63671875,156.77152260283816
26.3671875,123.0690823433103
75.1953125,129.61833229658038
124.0234375,136.16758224985045
172.8515625,142.71683220312053
221.6796875,149.26608215639064
270.5078125,155.81533210966072
19.23828125,122.11289185013287
68.06640625,128.66214180340296
116.89453125,135.21139175667304
165.72265625,141.76064170994312
214.55078125,148.3098916632132
263.37890625,154.85914161648327
12.109375,121.15670135695544
60.9375,127.70595131022552
109.765625,134.2552012634956
158.59375,140.8044512167657
207.421875,147.35370117003578
256.25,153.90295112330585
