timestamp,predicted_breathing_rate
0.0,23.445234892793863
48.828125,24.469424434455647
97.65625,25.49361397611743
146.484375,26.517803517779214
195.3125,27.541993059440998
244.140625,28.566182601102785
292.96875,29.59037214276457
41.69921875,24.319892761373026
90.52734375,25.34408230303481
139.35546875,26.368271844696594
188.18359375,27.392461386358377
237.01171875,28.416650928020164
285.83984375,29.440840469681948
34.5703125,24.170361088290406
83.3984375,25.19455062995219
132.2265625,26.218740171613973
181.0546875,27.242929713275757
229.8828125,28.267119254937544
278.7109375,29.291308796599328
27.44140625,24.020829415207785
76.26953125,25.04501895686957
125.09765625,26.069208498531353
173.92578125,27.093398040193136
222.75390625,28.11758758185492
271.58203125,29.141777123516707
20.3125,23.871297742125165
69.140625,24.89548728378695
117.96875,25.919676825448732
166.796875,26.943866367110516
215.625,27.9680559087723
264.453125,28.992245450434087
13.18359375,23.721766069042545
62.01171875,24.74595561070433
110.83984375,25.770145152366112
159.66796875,26.794334694027896
208.49609375,27.81852423568968
257.32421875,28.842713777351467
6.0546875,23.572234395959924
54.8828125,24.596423937621708
103.7109375,25.62061347928349
152.5390625,26.644803020945275
201.3671875,27.66899256260706
250.1953125,28.693182104268846
299.0234375,29.71737164593063
47.75390625,24.446892264539088
96.58203125,25.47108180620087
145.41015625,26.495271347862655
194.23828125,27.51946088952444
243.06640625,28.543650431186226
291.89453125,29.56783997284801
40.625,24.297360591456467
89.453125,25.32155013311825
138.28125,26.345739674780035
187.109375,27.369929216441818
235.9375,28.394118758103602
284.765625,29.41830829976539
33.49609375,24.147828918373847
82.32421875,25.17201846003563
131.15234375,26.196208001697414
179.98046875,27.220397543359198
228.80859375,28.24458708502098
277.63671875,29.26877662668277
26.3671875,23.998297245291226
75.1953125,25.02248678695301
124.0234375,26.046676328614794
172.8515625,27.070865870276577
221.6796875,28.09505541193836
270.5078125,29.11924495360015
19.23828125,23.848765572208606
68.06640625,24.87295511387039
116.89453125,25.897144655532173
165.72265625,26.921334197193957
214.55078125,27.94552373885574
263.37890625,28.969713280517528
12.109375,23.699233899125986
60.9375,24.72342344078777
109.765625,25.747612982449553
158.59375,26.771802524111337
207.421875,27.79599206577312
256.25,28.820181607434908
